player_key,player_name,coverage,period,timestamp,stat_id,stat_value
466.p.6034,Aaron Holiday,season,2025,2025-11-10,0,16
466.p.6034,Aaron Holiday,season,2025,2025-11-10,1,-
466.p.6034,Aaron Holiday,season,2025,2025-11-10,2,273
466.p.6034,Aaron Holiday,season,2025,2025-11-10,3,101
466.p.6034,Aaron Holiday,season,2025,2025-11-10,4,46
466.p.6034,Aaron Holiday,season,2025,2025-11-10,5,.455
466.p.6034,Aaron Holiday,season,2025,2025-11-10,6,27
466.p.6034,Aaron Holiday,season,2025,2025-11-10,7,24
466.p.6034,Aaron Holiday,season,2025,2025-11-10,8,.889
466.p.6034,Aaron Holiday,season,2025,2025-11-10,9,67
466.p.6034,Aaron Holiday,season,2025,2025-11-10,10,29
466.p.6034,Aaron Holiday,season,2025,2025-11-10,11,.433
466.p.6034,Aaron Holiday,season,2025,2025-11-10,12,145
466.p.6034,Aaron Holiday,season,2025,2025-11-10,13,2
466.p.6034,Aaron Holiday,season,2025,2025-11-10,14,14
466.p.6034,Aaron Holiday,season,2025,2025-11-10,15,16
466.p.6034,Aaron Holiday,season,2025,2025-11-10,16,19
466.p.6034,Aaron Holiday,season,2025,2025-11-10,17,8
466.p.6034,Aaron Holiday,season,2025,2025-11-10,18,3
466.p.6034,Aaron Holiday,season,2025,2025-11-10,19,15
466.p.6034,Aaron Holiday,season,2025,2025-11-10,20,1.267
466.p.6034,Aaron Holiday,season,2025,2025-11-10,21,21
466.p.6034,Aaron Holiday,season,2025,2025-11-10,22,0
466.p.6034,Aaron Holiday,season,2025,2025-11-10,23,0
466.p.6034,Aaron Holiday,season,2025,2025-11-10,24,0
466.p.6034,Aaron Holiday,season,2025,2025-11-10,25,0
466.p.6034,Aaron Holiday,season,2025,2025-11-10,27,0
466.p.6034,Aaron Holiday,season,2025,2025-11-10,28,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,0,23
466.p.6035,Anfernee Simons,season,2025,2025-11-10,1,-
466.p.6035,Anfernee Simons,season,2025,2025-11-10,2,545
466.p.6035,Anfernee Simons,season,2025,2025-11-10,3,245
466.p.6035,Anfernee Simons,season,2025,2025-11-10,4,109
466.p.6035,Anfernee Simons,season,2025,2025-11-10,5,.445
466.p.6035,Anfernee Simons,season,2025,2025-11-10,6,39
466.p.6035,Anfernee Simons,season,2025,2025-11-10,7,34
466.p.6035,Anfernee Simons,season,2025,2025-11-10,8,.872
466.p.6035,Anfernee Simons,season,2025,2025-11-10,9,139
466.p.6035,Anfernee Simons,season,2025,2025-11-10,10,57
466.p.6035,Anfernee Simons,season,2025,2025-11-10,11,.410
466.p.6035,Anfernee Simons,season,2025,2025-11-10,12,309
466.p.6035,Anfernee Simons,season,2025,2025-11-10,13,8
466.p.6035,Anfernee Simons,season,2025,2025-11-10,14,43
466.p.6035,Anfernee Simons,season,2025,2025-11-10,15,51
466.p.6035,Anfernee Simons,season,2025,2025-11-10,16,59
466.p.6035,Anfernee Simons,season,2025,2025-11-10,17,11
466.p.6035,Anfernee Simons,season,2025,2025-11-10,18,4
466.p.6035,Anfernee Simons,season,2025,2025-11-10,19,26
466.p.6035,Anfernee Simons,season,2025,2025-11-10,20,2.269
466.p.6035,Anfernee Simons,season,2025,2025-11-10,21,47
466.p.6035,Anfernee Simons,season,2025,2025-11-10,22,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,23,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,24,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,25,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,27,0
466.p.6035,Anfernee Simons,season,2025,2025-11-10,28,0
466.p.6036,Moritz Wagner,season,2025,2025-11-10,0,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,1,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,2,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,3,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,4,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,5,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,6,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,7,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,8,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,9,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,10,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,11,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,12,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,13,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,14,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,15,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,16,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,17,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,18,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,19,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,20,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,21,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,22,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,23,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,24,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,25,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,27,-
466.p.6036,Moritz Wagner,season,2025,2025-11-10,28,-
466.p.6037,Landry Shamet,season,2025,2025-11-10,0,15
466.p.6037,Landry Shamet,season,2025,2025-11-10,1,-
466.p.6037,Landry Shamet,season,2025,2025-11-10,2,314
466.p.6037,Landry Shamet,season,2025,2025-11-10,3,93
466.p.6037,Landry Shamet,season,2025,2025-11-10,4,42
466.p.6037,Landry Shamet,season,2025,2025-11-10,5,.452
466.p.6037,Landry Shamet,season,2025,2025-11-10,6,34
466.p.6037,Landry Shamet,season,2025,2025-11-10,7,27
466.p.6037,Landry Shamet,season,2025,2025-11-10,8,.794
466.p.6037,Landry Shamet,season,2025,2025-11-10,9,66
466.p.6037,Landry Shamet,season,2025,2025-11-10,10,28
466.p.6037,Landry Shamet,season,2025,2025-11-10,11,.424
466.p.6037,Landry Shamet,season,2025,2025-11-10,12,139
466.p.6037,Landry Shamet,season,2025,2025-11-10,13,7
466.p.6037,Landry Shamet,season,2025,2025-11-10,14,23
466.p.6037,Landry Shamet,season,2025,2025-11-10,15,30
466.p.6037,Landry Shamet,season,2025,2025-11-10,16,18
466.p.6037,Landry Shamet,season,2025,2025-11-10,17,6
466.p.6037,Landry Shamet,season,2025,2025-11-10,18,3
466.p.6037,Landry Shamet,season,2025,2025-11-10,19,7
466.p.6037,Landry Shamet,season,2025,2025-11-10,20,2.571
466.p.6037,Landry Shamet,season,2025,2025-11-10,21,19
466.p.6037,Landry Shamet,season,2025,2025-11-10,22,0
466.p.6037,Landry Shamet,season,2025,2025-11-10,23,0
466.p.6037,Landry Shamet,season,2025,2025-11-10,24,0
466.p.6037,Landry Shamet,season,2025,2025-11-10,25,0
466.p.6037,Landry Shamet,season,2025,2025-11-10,27,0
466.p.6037,Landry Shamet,season,2025,2025-11-10,28,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,0,15
466.p.6038,Robert Williams III,season,2025,2025-11-10,1,-
466.p.6038,Robert Williams III,season,2025,2025-11-10,2,230
466.p.6038,Robert Williams III,season,2025,2025-11-10,3,60
466.p.6038,Robert Williams III,season,2025,2025-11-10,4,40
466.p.6038,Robert Williams III,season,2025,2025-11-10,5,.667
466.p.6038,Robert Williams III,season,2025,2025-11-10,6,7
466.p.6038,Robert Williams III,season,2025,2025-11-10,7,3
466.p.6038,Robert Williams III,season,2025,2025-11-10,8,.429
466.p.6038,Robert Williams III,season,2025,2025-11-10,9,8
466.p.6038,Robert Williams III,season,2025,2025-11-10,10,1
466.p.6038,Robert Williams III,season,2025,2025-11-10,11,.125
466.p.6038,Robert Williams III,season,2025,2025-11-10,12,84
466.p.6038,Robert Williams III,season,2025,2025-11-10,13,32
466.p.6038,Robert Williams III,season,2025,2025-11-10,14,50
466.p.6038,Robert Williams III,season,2025,2025-11-10,15,82
466.p.6038,Robert Williams III,season,2025,2025-11-10,16,11
466.p.6038,Robert Williams III,season,2025,2025-11-10,17,9
466.p.6038,Robert Williams III,season,2025,2025-11-10,18,25
466.p.6038,Robert Williams III,season,2025,2025-11-10,19,6
466.p.6038,Robert Williams III,season,2025,2025-11-10,20,1.833
466.p.6038,Robert Williams III,season,2025,2025-11-10,21,20
466.p.6038,Robert Williams III,season,2025,2025-11-10,22,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,23,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,24,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,25,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,27,0
466.p.6038,Robert Williams III,season,2025,2025-11-10,28,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,0,13
466.p.6043,Jevon Carter,season,2025,2025-11-10,1,-
466.p.6043,Jevon Carter,season,2025,2025-11-10,2,178
466.p.6043,Jevon Carter,season,2025,2025-11-10,3,68
466.p.6043,Jevon Carter,season,2025,2025-11-10,4,27
466.p.6043,Jevon Carter,season,2025,2025-11-10,5,.397
466.p.6043,Jevon Carter,season,2025,2025-11-10,6,8
466.p.6043,Jevon Carter,season,2025,2025-11-10,7,8
466.p.6043,Jevon Carter,season,2025,2025-11-10,8,1.000
466.p.6043,Jevon Carter,season,2025,2025-11-10,9,52
466.p.6043,Jevon Carter,season,2025,2025-11-10,10,21
466.p.6043,Jevon Carter,season,2025,2025-11-10,11,.404
466.p.6043,Jevon Carter,season,2025,2025-11-10,12,83
466.p.6043,Jevon Carter,season,2025,2025-11-10,13,5
466.p.6043,Jevon Carter,season,2025,2025-11-10,14,14
466.p.6043,Jevon Carter,season,2025,2025-11-10,15,19
466.p.6043,Jevon Carter,season,2025,2025-11-10,16,15
466.p.6043,Jevon Carter,season,2025,2025-11-10,17,8
466.p.6043,Jevon Carter,season,2025,2025-11-10,18,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,19,7
466.p.6043,Jevon Carter,season,2025,2025-11-10,20,2.143
466.p.6043,Jevon Carter,season,2025,2025-11-10,21,13
466.p.6043,Jevon Carter,season,2025,2025-11-10,22,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,23,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,24,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,25,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,27,0
466.p.6043,Jevon Carter,season,2025,2025-11-10,28,0
466.p.6044,Jalen Brunson,season,2025,2025-11-10,0,20
466.p.6044,Jalen Brunson,season,2025,2025-11-10,1,-
466.p.6044,Jalen Brunson,season,2025,2025-11-10,2,691
466.p.6044,Jalen Brunson,season,2025,2025-11-10,3,414
466.p.6044,Jalen Brunson,season,2025,2025-11-10,4,196
466.p.6044,Jalen Brunson,season,2025,2025-11-10,5,.473
466.p.6044,Jalen Brunson,season,2025,2025-11-10,6,128
466.p.6044,Jalen Brunson,season,2025,2025-11-10,7,111
466.p.6044,Jalen Brunson,season,2025,2025-11-10,8,.867
466.p.6044,Jalen Brunson,season,2025,2025-11-10,9,149
466.p.6044,Jalen Brunson,season,2025,2025-11-10,10,55
466.p.6044,Jalen Brunson,season,2025,2025-11-10,11,.369
466.p.6044,Jalen Brunson,season,2025,2025-11-10,12,558
466.p.6044,Jalen Brunson,season,2025,2025-11-10,13,9
466.p.6044,Jalen Brunson,season,2025,2025-11-10,14,54
466.p.6044,Jalen Brunson,season,2025,2025-11-10,15,63
466.p.6044,Jalen Brunson,season,2025,2025-11-10,16,126
466.p.6044,Jalen Brunson,season,2025,2025-11-10,17,16
466.p.6044,Jalen Brunson,season,2025,2025-11-10,18,1
466.p.6044,Jalen Brunson,season,2025,2025-11-10,19,46
466.p.6044,Jalen Brunson,season,2025,2025-11-10,20,2.739
466.p.6044,Jalen Brunson,season,2025,2025-11-10,21,47
466.p.6044,Jalen Brunson,season,2025,2025-11-10,22,1
466.p.6044,Jalen Brunson,season,2025,2025-11-10,23,0
466.p.6044,Jalen Brunson,season,2025,2025-11-10,24,0
466.p.6044,Jalen Brunson,season,2025,2025-11-10,25,0
466.p.6044,Jalen Brunson,season,2025,2025-11-10,27,4
466.p.6044,Jalen Brunson,season,2025,2025-11-10,28,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,0,14
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,1,-
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,2,239
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,3,35
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,4,23
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,5,.657
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,6,17
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,7,3
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,8,.176
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,9,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,10,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,11,-
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,12,49
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,13,61
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,14,52
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,15,113
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,16,11
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,17,11
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,18,12
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,19,10
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,20,1.100
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,21,30
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,22,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,23,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,24,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,25,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,27,0
466.p.6047,Mitchell Robinson,season,2025,2025-11-10,28,0
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,0,25
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,1,-
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,2,694
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,3,209
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,4,82
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,5,.392
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,6,29
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,7,23
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,8,.793
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,9,148
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,10,54
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,11,.365
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,12,241
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,13,3
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,14,30
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,15,33
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,16,45
466.p.6048,Gary Trent Jr.,season,2025,2025-11-10,17,21
