snapshot_ts,player_key,stat_id,stat_value
2025-12-14T07:14:54.217096+00:00,466.p.3704,0,8
2025-12-14T07:14:54.217096+00:00,466.p.3704,1,-
2025-12-14T07:14:54.217096+00:00,466.p.3704,2,268
2025-12-14T07:14:54.217096+00:00,466.p.3704,3,111
2025-12-14T07:14:54.217096+00:00,466.p.3704,4,52
2025-12-14T07:14:54.217096+00:00,466.p.3704,5,.468
2025-12-14T07:14:54.217096+00:00,466.p.3704,6,28
2025-12-14T07:14:54.217096+00:00,466.p.3704,7,17
2025-12-14T07:14:54.217096+00:00,466.p.3704,8,.607
2025-12-14T07:14:54.217096+00:00,466.p.3704,9,36
2025-12-14T07:14:54.217096+00:00,466.p.3704,10,11
2025-12-14T07:14:54.217096+00:00,466.p.3704,11,.306
2025-12-14T07:14:54.217096+00:00,466.p.3704,12,132
2025-12-14T07:14:54.217096+00:00,466.p.3704,13,6
2025-12-14T07:14:54.217096+00:00,466.p.3704,14,42
2025-12-14T07:14:54.217096+00:00,466.p.3704,15,48
2025-12-14T07:14:54.217096+00:00,466.p.3704,16,61
2025-12-14T07:14:54.217096+00:00,466.p.3704,17,5
2025-12-14T07:14:54.217096+00:00,466.p.3704,18,5
2025-12-14T07:14:54.217096+00:00,466.p.3704,19,16
2025-12-14T07:14:54.217096+00:00,466.p.3704,20,3.813
2025-12-14T07:14:54.217096+00:00,466.p.3704,21,12
2025-12-14T07:14:54.217096+00:00,466.p.3704,22,0
2025-12-14T07:14:54.217096+00:00,466.p.3704,23,0
2025-12-14T07:14:54.217096+00:00,466.p.3704,24,0
2025-12-14T07:14:54.217096+00:00,466.p.3704,25,0
2025-12-14T07:14:54.217096+00:00,466.p.3704,27,2
2025-12-14T07:14:54.217096+00:00,466.p.3704,28,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,0,16
2025-12-14T07:14:54.217096+00:00,466.p.3930,1,-
2025-12-14T07:14:54.217096+00:00,466.p.3930,2,228
2025-12-14T07:14:54.217096+00:00,466.p.3930,3,56
2025-12-14T07:14:54.217096+00:00,466.p.3930,4,18
2025-12-14T07:14:54.217096+00:00,466.p.3930,5,.321
2025-12-14T07:14:54.217096+00:00,466.p.3930,6,2
2025-12-14T07:14:54.217096+00:00,466.p.3930,7,1
2025-12-14T07:14:54.217096+00:00,466.p.3930,8,.500
2025-12-14T07:14:54.217096+00:00,466.p.3930,9,30
2025-12-14T07:14:54.217096+00:00,466.p.3930,10,10
2025-12-14T07:14:54.217096+00:00,466.p.3930,11,.333
2025-12-14T07:14:54.217096+00:00,466.p.3930,12,47
2025-12-14T07:14:54.217096+00:00,466.p.3930,13,6
2025-12-14T07:14:54.217096+00:00,466.p.3930,14,22
2025-12-14T07:14:54.217096+00:00,466.p.3930,15,28
2025-12-14T07:14:54.217096+00:00,466.p.3930,16,53
2025-12-14T07:14:54.217096+00:00,466.p.3930,17,11
2025-12-14T07:14:54.217096+00:00,466.p.3930,18,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,19,16
2025-12-14T07:14:54.217096+00:00,466.p.3930,20,3.313
2025-12-14T07:14:54.217096+00:00,466.p.3930,21,23
2025-12-14T07:14:54.217096+00:00,466.p.3930,22,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,23,1
2025-12-14T07:14:54.217096+00:00,466.p.3930,24,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,25,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,27,0
2025-12-14T07:14:54.217096+00:00,466.p.3930,28,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,0,3
2025-12-14T07:14:54.217096+00:00,466.p.4152,1,-
2025-12-14T07:14:54.217096+00:00,466.p.4152,2,24
2025-12-14T07:14:54.217096+00:00,466.p.4152,3,4
2025-12-14T07:14:54.217096+00:00,466.p.4152,4,2
2025-12-14T07:14:54.217096+00:00,466.p.4152,5,.500
2025-12-14T07:14:54.217096+00:00,466.p.4152,6,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,7,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,8,-
2025-12-14T07:14:54.217096+00:00,466.p.4152,9,4
2025-12-14T07:14:54.217096+00:00,466.p.4152,10,2
2025-12-14T07:14:54.217096+00:00,466.p.4152,11,.500
2025-12-14T07:14:54.217096+00:00,466.p.4152,12,6
2025-12-14T07:14:54.217096+00:00,466.p.4152,13,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,14,1
2025-12-14T07:14:54.217096+00:00,466.p.4152,15,1
2025-12-14T07:14:54.217096+00:00,466.p.4152,16,4
2025-12-14T07:14:54.217096+00:00,466.p.4152,17,1
2025-12-14T07:14:54.217096+00:00,466.p.4152,18,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,19,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,20,-
2025-12-14T07:14:54.217096+00:00,466.p.4152,21,1
2025-12-14T07:14:54.217096+00:00,466.p.4152,22,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,23,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,24,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,25,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,27,0
2025-12-14T07:14:54.217096+00:00,466.p.4152,28,0
2025-12-14T07:14:54.217096+00:00,466.p.4163,0,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,1,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,2,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,3,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,4,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,5,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,6,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,7,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,8,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,9,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,10,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,11,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,12,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,13,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,14,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,15,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,16,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,17,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,18,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,19,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,20,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,21,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,22,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,23,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,24,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,25,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,27,-
2025-12-14T07:14:54.217096+00:00,466.p.4163,28,-
2025-12-14T07:14:54.217096+00:00,466.p.4244,0,20
2025-12-14T07:14:54.217096+00:00,466.p.4244,1,-
2025-12-14T07:14:54.217096+00:00,466.p.4244,2,707
2025-12-14T07:14:54.217096+00:00,466.p.4244,3,345
2025-12-14T07:14:54.217096+00:00,466.p.4244,4,172
2025-12-14T07:14:54.217096+00:00,466.p.4244,5,.499
2025-12-14T07:14:54.217096+00:00,466.p.4244,6,130
2025-12-14T07:14:54.217096+00:00,466.p.4244,7,116
2025-12-14T07:14:54.217096+00:00,466.p.4244,8,.892
2025-12-14T07:14:54.217096+00:00,466.p.4244,9,91
2025-12-14T07:14:54.217096+00:00,466.p.4244,10,36
2025-12-14T07:14:54.217096+00:00,466.p.4244,11,.396
2025-12-14T07:14:54.217096+00:00,466.p.4244,12,496
2025-12-14T07:14:54.217096+00:00,466.p.4244,13,6
2025-12-14T07:14:54.217096+00:00,466.p.4244,14,86
2025-12-14T07:14:54.217096+00:00,466.p.4244,15,92
2025-12-14T07:14:54.217096+00:00,466.p.4244,16,77
2025-12-14T07:14:54.217096+00:00,466.p.4244,17,19
2025-12-14T07:14:54.217096+00:00,466.p.4244,18,12
2025-12-14T07:14:54.217096+00:00,466.p.4244,19,59
2025-12-14T07:14:54.217096+00:00,466.p.4244,20,1.305
2025-12-14T07:14:54.217096+00:00,466.p.4244,21,48
2025-12-14T07:14:54.217096+00:00,466.p.4244,22,1
2025-12-14T07:14:54.217096+00:00,466.p.4244,23,0
2025-12-14T07:14:54.217096+00:00,466.p.4244,24,0
2025-12-14T07:14:54.217096+00:00,466.p.4244,25,0
2025-12-14T07:14:54.217096+00:00,466.p.4244,27,0
2025-12-14T07:14:54.217096+00:00,466.p.4244,28,0
2025-12-14T07:14:54.217096+00:00,466.p.4245,0,13
2025-12-14T07:14:54.217096+00:00,466.p.4245,1,-
2025-12-14T07:14:54.217096+00:00,466.p.4245,2,279
