team_key,team_name,player_key,player_name,position
466.l.165651.t.2,,466.p.10450,,
466.l.165651.t.2,,466.p.6692,,
466.l.165651.t.2,,466.p.6691,,
466.l.165651.t.2,,466.p.6703,,
466.l.165651.t.2,,466.p.6617,,
466.l.165651.t.2,,466.p.6499,,
466.l.165651.t.2,,466.p.6512,,
466.l.165651.t.2,,466.p.10265,,
466.l.165651.t.2,,466.p.5582,,
466.l.165651.t.2,,466.p.6218,,
466.l.165651.t.2,,466.p.6513,,
466.l.165651.t.10,,466.p.6548,,
466.l.165651.t.10,,466.p.5161,,
466.l.165651.t.10,,466.p.6772,,
466.l.165651.t.10,,466.p.6580,,
466.l.165651.t.10,,466.p.10121,,
466.l.165651.t.10,,466.p.6514,,
466.l.165651.t.10,,466.p.10294,,
466.l.165651.t.10,,466.p.5959,,
466.l.165651.t.10,,466.p.5840,,
466.l.165651.t.10,,466.p.6695,,
466.l.165651.t.10,,466.p.5663,,
466.l.165651.t.10,,466.p.4563,,
466.l.165651.t.10,,466.p.6034,,
466.l.165651.t.10,,466.p.4840,,
466.l.165651.t.10,,466.p.6016,,
466.l.165651.t.5,,466.p.6721,,
466.l.165651.t.5,,466.p.6696,,
466.l.165651.t.5,,466.p.10454,,
466.l.165651.t.5,,466.p.10107,,
466.l.165651.t.5,,466.p.10104,,
466.l.165651.t.5,,466.p.6693,,
466.l.165651.t.5,,466.p.5832,,
466.l.165651.t.5,,466.p.5294,,
466.l.165651.t.5,,466.p.5826,,
466.l.165651.t.5,,466.p.6175,,
466.l.165651.t.5,,466.p.6559,,
466.l.165651.t.5,,466.p.4244,,
466.l.165651.t.5,,466.p.5292,,
466.l.165651.t.5,,466.p.5660,,
466.l.165651.t.11,,466.p.6035,,
466.l.165651.t.11,,466.p.6754,,
466.l.165651.t.11,,466.p.6556,,
466.l.165651.t.11,,466.p.6023,,
466.l.165651.t.11,,466.p.6253,,
466.l.165651.t.11,,466.p.10296,,
466.l.165651.t.11,,466.p.5197,,
466.l.165651.t.11,,466.p.5658,,
466.l.165651.t.11,,466.p.6174,,
466.l.165651.t.11,,466.p.6163,,
466.l.165651.t.11,,466.p.4912,,
466.l.165651.t.11,,466.p.5602,,
466.l.165651.t.11,,466.p.6766,,
466.l.165651.t.11,,466.p.5475,,
466.l.165651.t.11,,466.p.6711,,
