player_key,player_id,player_name,coverage,period,stat_id,stat_value,team_key,team_name,position,timestamp
466.p.3704,3704,LeBron James,season,2025,0,6,,,,
466.p.3704,3704,LeBron James,season,2025,1,-,,,,
466.p.3704,3704,LeBron James,season,2025,2,197,,,,
466.p.3704,3704,LeBron James,season,2025,3,80,,,,
466.p.3704,3704,LeBron James,season,2025,4,33,,,,
466.p.3704,3704,LeBron James,season,2025,5,.413,,,,
466.p.3704,3704,LeBron James,season,2025,6,20,,,,
466.p.3704,3704,LeBron James,season,2025,7,11,,,,
466.p.3704,3704,LeBron James,season,2025,8,.550,,,,
466.p.3704,3704,LeBron James,season,2025,9,27,,,,
466.p.3704,3704,LeBron James,season,2025,10,7,,,,
466.p.3704,3704,LeBron James,season,2025,11,.259,,,,
466.p.3704,3704,LeBron James,season,2025,12,84,,,,
466.p.3704,3704,LeBron James,season,2025,13,4,,,,
466.p.3704,3704,LeBron James,season,2025,14,22,,,,
466.p.3704,3704,LeBron James,season,2025,15,26,,,,
466.p.3704,3704,LeBron James,season,2025,16,47,,,,
466.p.3704,3704,LeBron James,season,2025,17,4,,,,
466.p.3704,3704,LeBron James,season,2025,18,1,,,,
466.p.3704,3704,LeBron James,season,2025,19,11,,,,
466.p.3704,3704,LeBron James,season,2025,20,4.273,,,,
466.p.3704,3704,LeBron James,season,2025,21,9,,,,
466.p.3704,3704,LeBron James,season,2025,22,0,,,,
466.p.3704,3704,LeBron James,season,2025,23,0,,,,
466.p.3704,3704,LeBron James,season,2025,24,0,,,,
466.p.3704,3704,LeBron James,season,2025,25,0,,,,
466.p.3704,3704,LeBron James,season,2025,27,1,,,,
466.p.3704,3704,LeBron James,season,2025,28,0,,,,
466.p.3930,3930,Chris Paul,season,2025,0,16,,,,
466.p.3930,3930,Chris Paul,season,2025,1,-,,,,
466.p.3930,3930,Chris Paul,season,2025,2,228,,,,
466.p.3930,3930,Chris Paul,season,2025,3,56,,,,
466.p.3930,3930,Chris Paul,season,2025,4,18,,,,
466.p.3930,3930,Chris Paul,season,2025,5,.321,,,,
466.p.3930,3930,Chris Paul,season,2025,6,2,,,,
466.p.3930,3930,Chris Paul,season,2025,7,1,,,,
466.p.3930,3930,Chris Paul,season,2025,8,.500,,,,
466.p.3930,3930,Chris Paul,season,2025,9,30,,,,
466.p.3930,3930,Chris Paul,season,2025,10,10,,,,
466.p.3930,3930,Chris Paul,season,2025,11,.333,,,,
466.p.3930,3930,Chris Paul,season,2025,12,47,,,,
466.p.3930,3930,Chris Paul,season,2025,13,6,,,,
466.p.3930,3930,Chris Paul,season,2025,14,22,,,,
466.p.3930,3930,Chris Paul,season,2025,15,28,,,,
466.p.3930,3930,Chris Paul,season,2025,16,53,,,,
466.p.3930,3930,Chris Paul,season,2025,17,11,,,,
466.p.3930,3930,Chris Paul,season,2025,18,0,,,,
466.p.3930,3930,Chris Paul,season,2025,19,16,,,,
466.p.3930,3930,Chris Paul,season,2025,20,3.313,,,,
466.p.3930,3930,Chris Paul,season,2025,21,23,,,,
466.p.3930,3930,Chris Paul,season,2025,22,0,,,,
466.p.3930,3930,Chris Paul,season,2025,23,1,,,,
466.p.3930,3930,Chris Paul,season,2025,24,0,,,,
466.p.3930,3930,Chris Paul,season,2025,25,0,,,,
466.p.3930,3930,Chris Paul,season,2025,27,0,,,,
466.p.3930,3930,Chris Paul,season,2025,28,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,0,3,,,,
466.p.4152,4152,Kyle Lowry,season,2025,1,-,,,,
466.p.4152,4152,Kyle Lowry,season,2025,2,24,,,,
466.p.4152,4152,Kyle Lowry,season,2025,3,4,,,,
466.p.4152,4152,Kyle Lowry,season,2025,4,2,,,,
466.p.4152,4152,Kyle Lowry,season,2025,5,.500,,,,
466.p.4152,4152,Kyle Lowry,season,2025,6,0,,,,
466.p.4152,4152,Kyle Lowry,season,2025,7,0,,,,
